PSNR/SSIM,BicuBic,EDSR,Gfear,HR,SRCNN,SRResNet,VDSR,
0828.png,16.47/0.90,34.24/0.93,33.01/0.96,30.89/0.90,33.92/0.96,29.98/0.91,34.70/0.98,
0828.png,16.47/0.65,21.45/0.89,21.96/0.96,30.89/0.90,33.92/0.96,29.98/0.91,34.70/0.98,
